TOKEN TYPE           LEXEME          LINE       COLUMN    
RESERVED             main            Line: 1   Column: 1  
DELIM                (               Line: 1   Column: 6  
IDENTIFIER           args            Line: 1   Column: 7  
DELIM                )               Line: 1   Column: 11 
DELIM                {               Line: 1   Column: 13 
RESERVED             str             Line: 2   Column: 5  
IDENTIFIER           name            Line: 2   Column: 9  
ASSIGN_OP            =               Line: 2   Column: 14 
RESERVED             STRICT          Line: 2   Column: 16 
KEYWORD              Input           Line: 2   Column: 23 
METHOD_OP            ::              Line: 2   Column: 28 
KEYWORD              get             Line: 2   Column: 30 
DELIM                (               Line: 2   Column: 33 
STR_DELIM            "               Line: 2   Column: 34 
STR_DELIM            "               Line: 2   Column: 52 
STR_LIT              Enter your name:  Line: 2   Column: 34 
DELIM                )               Line: 2   Column: 53 
PUNC_DELIM           ;               Line: 2   Column: 54 
DELIM                }               Line: 3   Column: 1  
